candidateRecallAtDoubleK,k,ndcg,overlap,precision,truth
0,10,0.023,0,0,capacity
0.12,25,0.0787,2,0.08,capacity
0.2,50,0.1374,6,0.12,capacity
0.28,100,0.2092,17,0.17,capacity
0,10,0,0,0,season_merit
0.12,25,0.0362,0,0,season_merit
0.18,50,0.1375,6,0.12,season_merit
0.37,100,0.2286,18,0.18,season_merit
0,10,0,0,0,future
0,25,0,0,0,future
0.06,50,0.0193,0,0,future
0.2,100,0.1503,8,0.08,future
