00:02.212  blend            | Read blend: "/Users/macbookpro14/.codex/worktrees/pachangas-reward-chest-animation/artifacts/reward-chest/recovered.blend"
INFO Draco mesh compression is available, use library at /Applications/Blender.app/Contents/Resources/5.1/scripts/addons_core/io_scene_gltf2/libextern_draco.dylib
22:28:32 | INFO: Extracting primitive: Top_Stitch_R_3_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Top_Stitch_R_4_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Top_Stitch_R_5_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Top_Stitch_R_6_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.029
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.031
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.030
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cylinder.019
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cylinder.020
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.033
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.050
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.049
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.041
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cylinder.018
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.014
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.015
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.016
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.017
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.018
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.019
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.020
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.021
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.022
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.023
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.024
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Sphere.025
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.025
22:28:32 | INFO: Primitives created: 2
22:28:32 | INFO: Extracting primitive: Cube.051
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Achievement_Name_Data
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Achievement_Title_Data
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.053
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.052
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Reward_Card_Line_L_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Reward_Card_Line_R_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Reward_Emblem_Shield_Mesh
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Reward_Emblem_Inlay_Mesh
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Draco encoder: Encoding mesh Blue_Light_Core_1.
22:28:32 | INFO: Draco encoder: Encoding mesh Blue_Light_Core_2.
22:28:32 | INFO: Draco encoder: Encoding mesh Blue_Light_Core_3.
22:28:32 | INFO: Draco encoder: Encoding mesh Blue_Light_Core_4.
22:28:32 | INFO: Draco encoder: Encoding mesh Blue_Light_Strips.
22:28:32 | INFO: Draco encoder: Encoding mesh Blue_Light_Strips_Back.
22:28:32 | INFO: Draco encoder: Encoding mesh Blue_Light_Strips_Left.
22:28:32 | INFO: Draco encoder: Encoding mesh Blue_Light_Strips_Right.
22:28:32 | INFO: Draco encoder: Encoding mesh Box_Body.
22:28:32 | INFO: Draco encoder: Encoding mesh Box_Lid.
22:28:32 | INFO: Draco encoder: Encoding mesh Corner_Guards.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Centre_Circle.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Field.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Field_2.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Field_3.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Field_4.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Field_5.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Field_6.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Field_7.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Inlay.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Node_2.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Node_3.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Node_4.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Nodes.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_PIQ.
22:28:32 | INFO: Draco encoder: Encoding mesh Exterior_Logo_Square.
Blender 5.1.2 (hash ec6e62d40fa9 built 2026-05-19 01:30:33)
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 254, compression ratio: 3.24
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 252, compression ratio: 3.27
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 258, compression ratio: 3.19
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 257, compression ratio: 3.21
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 261, compression ratio: 3.16
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 265, compression ratio: 3.11
DracoEncoder | Preserve triangle order: no
